UUID,FirstName,LastName,Password,WeakPassword,Title,Department,Groups,Description,OhYou
e25783b9-8785-4f9f-937d-7ae6f8a3ddcf,Tomothy,Chavez,heavysnake533,cbr600,Chief Executive Officer,Executive Management,,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
b9853853-f9c4-45cd-a0d0-da26d15e424f,Carla,Hoffman,orangelion594,latino,Chief Financial Officer,Finance,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
92e44888-8d09-46ab-bb87-4b2f4d389b56,William,Herrera,heavyleopard941,diehard,Chief Operations Officer,Operations,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
04f7e917-fa6a-44f1-ac83-0e23b7d85f6e,Terri,Day,yellowrabbit788,squirt,Chief Marketing Officer,Marketing,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
24db63f3-c3f4-468e-a266-02d4c4f314a0,Ethel,Gomez,smalldog842,vvvv,Chief Risk Officer,Compliance and Risk,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
b209c37b-7fa2-45d6-9e3a-35783a589544,Ken,Fisher,bluepeacock492,doctor,Chief Information Security Officer,Information Security,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
dfccf9cc-91a1-4ada-a8a7-67475746d766,Wallace,Russell,beautifulswan358,whocares,Chief Technology Officer,Information Technology,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
7bfb9544-0c36-45a9-b0c6-c53fc2d32176,Nina,Rivera,brownmouse917,spears,Chief Privacy Officer,Information and Privacy,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
3c28fe7d-c81d-406b-8a48-c0004b0493b8,Cecil,Rivera,organicladybug796,kings,Director of Human Resources,Human Resources,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
668a07b8-bb43-4c66-aac1-da87788b1a45,Kim,Carroll,bigwolf224,beowulf,Director of Professional Services,Professional Services,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
1ab47766-6f09-4717-bc5a-55db13483d5d,Erin,Miles,yellowwolf507,December242022,Chief Compliance Officer,Compliance and Risk,Executive Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
d41abbef-bd49-49d1-b99c-cc01779d3a9e,Kyle,Lane,tinybird928,newman,Controller,Finance,Senior Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
